Q_target,avg_score,avg_cost,pool_size,pool
0.8,0.8083333333333333,0.0,8,GLM-Z1-9B-0414|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|glm-4-9b-chat|granite-3.3-8b-instruct|internlm3-8b-instruct
0.9,0.8999999999999999,1.8071625e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.95,0.95,0.0001892204625,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|Qwen2.5-Coder-7B-Instruct|deepseek-v3-0324|qwen3-235b-a22b-2507
0.98,0.9833333333333332,0.003234035229166667,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
