K,avg_score,avg_cost,pool_size
1,0.7416666666666666,0.00470364921875,1
2,0.8916666666666664,0.0048860085000000004,2
3,0.9250000000000003,0.004953407500000001,3
4,0.9458333333333332,0.003922356,4
5,0.9624999999999999,0.004553407541666666,5
6,0.9791666666666665,0.00469005925,6
7,0.9833333333333332,0.0045192780416666665,7
8,0.9833333333333332,0.003233057520833333,8
9,0.9833333333333332,0.002634959620833333,9
10,0.9833333333333332,0.0022730220958333334,10
